Wind ID,Date/Time,Latitude,Longitude,Nearest town,State,Max Gust speed,Comments,,,
6523,25/10/2011 4:13,-30.0317,148.1012,WALGETT,NSW,50,NULL NULL,,,
6524,25/10/2011 7:10,-30.9484,150.2511,GUNNEDAH AERODROME,NSW,46,Close to the 47 knots threshold and the same environment produced gusts >50 knots in the area. NULL,,,
6525,8/11/2011 3:07,-34.7484,149.7346,GOULBURN,NSW,49,NULL NULL,,,
6526,8/11/2011 6:32,-29.4152,142.0346,TIBOOBURRA,NSW,53,NULL NULL,,,
6527,9/11/2011 8:09,-32.0068,141.468,BROKEN HILL AIRPORT,NSW,50,SES reported wind damage-related jobs at Broken Hill also. NULL,,,
6528,12/11/2011 10:23,-29.6817,152.9345,GRAFTON,NSW,49,NULL NULL,,,
6529,12/11/2011 10:23,-29.6817,152.9345,GRAFTON,NSW,49,NULL NULL,,,
6530,13/11/2011 7:55,-28.6151,153.0011,KYOGLE,NSW,48,Storm spotter rang Queensland RFC reporting an approximately 90km/hr wind gust at Kyogle. QLD RFC passed on the report to NSW RFC. NULL,,,
6531,29/11/2011 9:27,-33.9317,147.1846,WEST WYALONG AIRPORT,NSW,72,Report was a SPECI from YWWL AWS. A pre-frontal feature moved across central parts of NSW resulting in several observed damaging-destructive wind gusts at several locations.,,,
6532,29/11/2011 9:36,-35.1318,147.4179,WAGGA WAGGA AIRPORT,NSW,50,Report was a SPECI from YSWG AWS. A pre-frontal feature moved across central parts of NSW resulting in several observed damaging-destructive wind gusts at several locations.,,,
6533,29/11/2011 11:36,-33.0651,147.2012,CONDOBOLIN AERODROME,NSW,55,Report was a SPECI from YCDO AWS. A pre-frontal feature moved across central parts of NSW resulting in several observed damaging-destructive wind gusts at several locations.,,,
6534,29/11/2011 11:27,-33.0651,147.2012,CONDOBOLIN AERODROME,NSW,49,Report was a SPECI from YCDO AWS. A pre-frontal feature moved across central parts of NSW resulting in several observed damaging-destructive wind gusts at several locations.,,,
